,,,,,,
1,Peter,Ackroyd,,,,
2,Amir,Aczel,,,,
3,Jeffery,Archer,,,,
4,Richard,Bach,,,,
5,Michael,Baz-Zohar,,,,
6,BBC,BBC,,,,
7,E. T.,Bell,,,,
8,Joe,Biden,,,,
9,David,Bodanis,,,,
10,Gary,Bradsky,,,,
11,Braithwaite,Braithwaite,,,,
12,Dan,Brown,,,,
13,Albert,Camus,,,,
14,Fritjof,Capra,,,,
15,Drew,Conway,,,,
16,Jim,Corbett,,,,
17,Thomas,Cormen,,,,
18,Michael,Crichton,,,,
19,William,Dalrymple,,,,
20,Richard,Dawkins,,,,
21,Siddhartha,Deb,,,,
22,P. L.,Deshpande,,,,
23,Keith,Devlin,,,,
24,Charles,Dickens,,,,
25,Peter,Dickinson,,,,
26,Fyodor,Dostoevsky,,,,
27,Allen,Downey,,,,
28,Arthur Conan,Doyle,,,,
29,Peter,Drucker,,,,
30,Stephen,Dubner,,,,
31,Hart,Duda,,,,
32,Will,Durant,,,,
33,Gerald,Durrell,,,,
34,Bob,Dylan,,,,
35,Steve,Eddins,,,,
36,Abraham,Eraly,,,,
37,Richard,Feynman,,,,
38,Robert,Fisk,,,,
39,Ken,Follett,,,,
40,John,Foreman,,,,
41,David,Forsyth,,,,
42,Sergio,Franco,,,,
43,Thomas,Friedman,,,,
44,Earle Stanley,Gardner,,,,
45,Sanjay,Garg,,,,
46,Amitav,Ghosh,,,,
47,James,Gleick,,,,
48,Richard,Gordon,,,,
49,Jaideva,Goswami,,,,
50,W. H.,Greene,,,,
51,John,Grisham,,,,
52,Madan,Gupta,,,,
53,Amartya,Sen,,,,
54,Frank,Shih,,,,
55,Nate,Silver,,,,
56,Simon,Singh,,,,
57,Adam,Smith,,,,
58,Sorabjee,Sorabjee,,,,
59,John,Steinbeck,,,,
60,Alfred,Stonier,,,,
61,Jonathan,Stroud,,,,
62,Gerald,Sussman,,,,
63,Andrew,Tanenbaum,,,,
64,Terence,Tao,,,,
65,Schilling,Taub,,,,
66,Shashi,Tharoor,,,,
67,Joy,Thomas,,,,
68,Vladimir,Vapnik,,,,
69,Jules,Verne,,,,
70,Cedric,Villani,,,,
71,Kurt,Vonnegut,,,,
72,H. G.,Wells,,,,
73,Morris,West,,,,
74,Bob,Woodward,,,,
75,Hussain,Zaidi,,,,